,Club,Played,Won,Drawn,Lost,GF,GA,GD,Points,season,year
0,Manchester United,42,24,12,6,67,31,36,84,1992/1993,1993
5,Liverpool,42,16,11,15,62,55,7,59,1992/1993,1993
7,Tottenham Hotspur,42,16,11,15,60,66,-6,59,1992/1993,1993
8,Manchester City,42,15,12,15,56,51,5,57,1992/1993,1993
9,Arsenal,42,15,11,16,40,38,2,56,1992/1993,1993
10,Chelsea,42,14,14,14,51,54,-3,56,1992/1993,1993
22,Manchester United,42,27,11,4,80,38,42,92,1993/1994,1994
25,Arsenal,42,18,17,7,53,28,25,71,1993/1994,1994
29,Liverpool,42,17,9,16,59,55,4,60,1993/1994,1994
35,Chelsea,42,13,12,17,49,53,-4,51,1993/1994,1994
36,Tottenham Hotspur,42,11,12,19,54,59,-5,45,1993/1994,1994
37,Manchester City,42,9,18,15,38,49,-11,45,1993/1994,1994
45,Manchester United,42,26,10,6,77,28,49,88,1994/1995,1995
47,Liverpool,42,21,11,10,65,37,28,74,1994/1995,1995
50,Tottenham Hotspur,42,16,14,12,66,58,8,62,1994/1995,1995
54,Chelsea,42,13,15,14,50,55,-5,54,1994/1995,1995
55,Arsenal,42,13,12,17,52,49,3,51,1994/1995,1995
60,Manchester City,42,12,13,17,53,64,-11,49,1994/1995,1995
66,Manchester United,38,25,7,6,73,35,38,82,1995/1996,1996
68,Liverpool,38,20,11,7,70,34,36,71,1995/1996,1996
70,Arsenal,38,17,12,9,49,32,17,63,1995/1996,1996
73,Tottenham Hotspur,38,16,13,9,50,38,12,61,1995/1996,1996
76,Chelsea,38,12,14,12,46,44,2,50,1995/1996,1996
83,Manchester City,38,9,11,18,33,58,-25,38,1995/1996,1996
86,Manchester United,38,21,12,5,76,44,32,75,1996/1997,1997
88,Arsenal,38,19,11,8,62,32,30,68,1996/1997,1997
89,Liverpool,38,19,11,8,62,37,25,68,1996/1997,1997
91,Chelsea,38,16,11,11,58,55,3,59,1996/1997,1997
95,Tottenham Hotspur,38,13,7,18,44,51,-7,46,1996/1997,1997
106,Arsenal,38,23,9,6,68,33,35,78,1997/1998,1998
107,Manchester United,38,23,8,7,73,26,47,77,1997/1998,1998
108,Liverpool,38,18,11,9,68,42,26,65,1997/1998,1998
109,Chelsea,38,20,3,15,71,43,28,63,1997/1998,1998
119,Tottenham Hotspur,38,11,11,16,44,56,-12,44,1997/1998,1998
126,Manchester United,38,22,13,3,80,37,43,79,1998/1999,1999
127,Arsenal,38,22,12,4,59,17,42,78,1998/1999,1999
128,Chelsea,38,20,15,3,57,30,27,75,1998/1999,1999
132,Liverpool,38,15,9,14,68,49,19,54,1998/1999,1999
136,Tottenham Hotspur,38,11,14,13,47,50,-3,47,1998/1999,1999
146,Manchester United,38,28,7,3,97,45,52,91,1999/2000,2000
147,Arsenal,38,22,7,9,73,43,30,73,1999/2000,2000
149,Liverpool,38,19,10,9,51,30,21,67,1999/2000,2000
150,Chelsea,38,18,11,9,53,34,19,65,1999/2000,2000
155,Tottenham Hotspur,38,15,8,15,57,49,8,53,1999/2000,2000
166,Manchester United,38,24,8,6,79,31,48,80,2000/2001,2001
167,Arsenal,38,20,10,8,63,38,25,70,2000/2001,2001
168,Liverpool,38,20,9,9,71,39,32,69,2000/2001,2001
171,Chelsea,38,17,10,11,68,45,23,61,2000/2001,2001
177,Tottenham Hotspur,38,13,10,15,47,54,-7,49,2000/2001,2001
183,Manchester City,38,8,10,20,41,65,-24,34,2000/2001,2001
186,Arsenal,38,26,9,3,79,36,43,87,2001/2002,2002
187,Liverpool,38,24,8,6,67,30,37,80,2001/2002,2002
188,Manchester United,38,24,5,9,87,45,42,77,2001/2002,2002
191,Chelsea,38,17,13,8,66,38,28,64,2001/2002,2002
194,Tottenham Hotspur,38,14,8,16,49,53,-4,50,2001/2002,2002
206,Manchester United,38,25,8,5,74,34,40,83,2002/2003,2003
207,Arsenal,38,23,9,6,85,42,43,78,2002/2003,2003
209,Chelsea,38,19,10,9,68,38,30,67,2002/2003,2003
210,Liverpool,38,18,10,10,61,41,20,64,2002/2003,2003
214,Manchester City,38,15,6,17,47,54,-7,51,2002/2003,2003
215,Tottenham Hotspur,38,14,8,16,51,62,-11,50,2002/2003,2003
226,Arsenal,38,26,12,0,73,26,47,90,2003/2004,2004
227,Chelsea,38,24,7,7,67,30,37,79,2003/2004,2004
228,Manchester United,38,23,6,9,64,35,29,75,2003/2004,2004
229,Liverpool,38,16,12,10,55,37,18,60,2003/2004,2004
239,Tottenham Hotspur,38,13,6,19,47,57,-10,45,2003/2004,2004
241,Manchester City,38,9,14,15,55,54,1,41,2003/2004,2004
246,Chelsea,38,29,8,1,72,15,57,95,2004/2005,2005
247,Arsenal,38,25,8,5,87,36,51,83,2004/2005,2005
248,Manchester United,38,22,11,5,58,26,32,77,2004/2005,2005
250,Liverpool,38,17,7,14,52,41,11,58,2004/2005,2005
253,Manchester City,38,13,13,12,47,39,8,52,2004/2005,2005
254,Tottenham Hotspur,38,14,10,14,47,41,6,52,2004/2005,2005
266,Chelsea,38,29,4,5,72,22,50,91,2005/2006,2006
267,Manchester United,38,25,8,5,72,34,38,83,2005/2006,2006
268,Liverpool,38,25,7,6,57,25,32,82,2005/2006,2006
269,Arsenal,38,20,7,11,68,31,37,67,2005/2006,2006
270,Tottenham Hotspur,38,18,11,9,53,38,15,65,2005/2006,2006
280,Manchester City,38,13,4,21,43,48,-5,43,2005/2006,2006
286,Manchester United,38,28,5,5,83,27,56,89,2006/2007,2007
287,Chelsea,38,24,11,3,64,24,40,83,2006/2007,2007
288,Liverpool,38,20,8,10,57,27,30,68,2006/2007,2007
289,Arsenal,38,19,11,8,63,35,28,68,2006/2007,2007
290,Tottenham Hotspur,38,17,9,12,57,54,3,60,2006/2007,2007
299,Manchester City,38,11,9,18,29,44,-15,42,2006/2007,2007
306,Manchester United,38,27,6,5,80,22,58,87,2007/2008,2008
307,Chelsea,38,25,10,3,65,26,39,85,2007/2008,2008
308,Arsenal,38,24,11,3,74,31,43,83,2007/2008,2008
309,Liverpool,38,21,13,4,67,28,39,76,2007/2008,2008
314,Manchester City,38,15,10,13,45,53,-8,55,2007/2008,2008
316,Tottenham Hotspur,38,11,13,14,66,61,5,46,2007/2008,2008
326,Manchester United,38,28,6,4,68,24,44,90,2008/2009,2009
327,Liverpool,38,25,11,2,77,27,50,86,2008/2009,2009
328,Chelsea,38,25,8,5,68,24,44,83,2008/2009,2009
329,Arsenal,38,20,12,6,68,37,31,72,2008/2009,2009
333,Tottenham Hotspur,38,14,9,15,45,45,0,51,2008/2009,2009
335,Manchester City,38,15,5,18,58,50,8,50,2008/2009,2009
346,Chelsea,38,27,5,6,103,32,71,86,2009/2010,2010
347,Manchester United,38,27,4,7,86,28,58,85,2009/2010,2010
348,Arsenal,38,23,6,9,83,41,42,75,2009/2010,2010
349,Tottenham Hotspur,38,21,7,10,67,41,26,70,2009/2010,2010
350,Manchester City,38,18,13,7,73,45,28,67,2009/2010,2010
352,Liverpool,38,18,9,11,61,35,26,63,2009/2010,2010
366,Manchester United,38,23,11,4,78,37,41,80,2010/2011,2011
367,Chelsea,38,21,8,9,69,33,36,71,2010/2011,2011
368,Manchester City,38,21,8,9,60,33,27,71,2010/2011,2011
369,Arsenal,38,19,11,8,72,43,29,68,2010/2011,2011
370,Tottenham Hotspur,38,16,14,8,55,46,9,62,2010/2011,2011
371,Liverpool,38,17,7,14,59,44,15,58,2010/2011,2011
386,Manchester City,38,28,5,5,93,29,64,89,2011/2012,2012
387,Manchester United,38,28,5,5,89,33,56,89,2011/2012,2012
388,Arsenal,38,21,7,10,74,49,25,70,2011/2012,2012
389,Tottenham Hotspur,38,20,9,9,66,41,25,69,2011/2012,2012
391,Chelsea,38,18,10,10,65,46,19,64,2011/2012,2012
393,Liverpool,38,14,10,14,47,40,7,52,2011/2012,2012
406,Manchester United,38,28,5,5,86,43,43,89,2012/2013,2013
407,Manchester City,38,23,9,6,66,34,32,78,2012/2013,2013
408,Chelsea,38,22,9,7,75,39,36,75,2012/2013,2013
409,Arsenal,38,21,10,7,72,37,35,73,2012/2013,2013
410,Tottenham Hotspur,38,21,9,8,66,46,20,72,2012/2013,2013
412,Liverpool,38,16,13,9,71,43,28,61,2012/2013,2013
426,Manchester City,38,27,5,6,102,37,65,86,2013/2014,2014
427,Liverpool,38,26,6,6,101,50,51,84,2013/2014,2014
428,Chelsea,38,25,7,6,71,27,44,82,2013/2014,2014
429,Arsenal,38,24,7,7,68,41,27,79,2013/2014,2014
431,Tottenham Hotspur,38,21,6,11,55,51,4,69,2013/2014,2014
432,Manchester United,38,19,7,12,64,43,21,64,2013/2014,2014
446,Chelsea,38,26,9,3,73,32,41,87,2014/2015,2015
447,Manchester City,38,24,7,7,83,38,45,79,2014/2015,2015
448,Arsenal,38,22,9,7,71,36,35,75,2014/2015,2015
449,Manchester United,38,20,10,8,62,37,25,70,2014/2015,2015
