Club,Goal Diff,Real-time position,predicted position
Manchester City,50,1,0.1240791473228775
Liverpool,55,2,-0.941515341052785
Chelsea,38,3,2.681505919424472
Arsenal,13,4,8.009478361302794
Tottenham Hotspur,11,5,8.43571615665306
Manchester United,8,6,9.075072849678458
West Ham,10,7,8.648835054328192
Wolves,5,8,9.714429542703856
Aston Villa,1,9,10.566905133404388
Leicester City,-4,10,11.632499621780052
Southampton,-9,11,12.698094110155715
Crystal Palace,1,12,10.566905133404388
Brighton,-10,13,12.911213007830849
Newcastle,-17,14,14.40304529155678
Brentford,-14,15,13.763688598531381
Leeds United,-33,16,17.812947654358904
Everton,-18,17,14.616164189231911
Watford,-26,18,16.321115370632974
Norwich City,-45,20,20.3703744264605
