Club,Goal Diff,Real-time position,predicted position
Manchester City,50,1,2.210139806775599
Liverpool,55,2,2.041307272508181
Chelsea,38,3,2.880336970851726
Arsenal,13,4,6.714017237230832
Tottenham Hotspur,11,5,7.177375078222133
Manchester United,8,6,7.9096425812847375
West Ham,10,7,7.416656739904072
Wolves,5,8,8.682553684937623
Aston Villa,1,9,9.767245918495416
Leicester City,-4,10,11.189850229449902
Southampton,-9,11,12.656624082393016
Crystal Palace,1,12,9.767245918495416
Brighton,-10,13,12.952171978475448
Newcastle,-17,14,15.003942275862
Brentford,-14,15,14.131497755949702
Leeds United,-33,16,19.075960285639695
Everton,-18,17,15.290681147655757
Watford,-26,18,17.460689249200506
Norwich City,-45,20,20.83656775357849
