Club,year,Played,Won,Drawn,Lost,W/L ratio
Arsenal,1993,42,15,11,16,0.9375
Arsenal,1994,42,18,17,7,2.5714285714285716
Arsenal,1995,42,13,12,17,0.7647058823529411
Arsenal,1996,38,17,12,9,1.8888888888888888
Arsenal,1997,38,19,11,8,2.375
Arsenal,1998,38,23,9,6,3.8333333333333335
Arsenal,1999,38,22,12,4,5.5
Arsenal,2000,38,22,7,9,2.4444444444444446
Arsenal,2001,38,20,10,8,2.5
Arsenal,2002,38,26,9,3,8.666666666666666
Arsenal,2003,38,23,9,6,3.8333333333333335
Arsenal,2004,38,26,12,0,inf
Arsenal,2005,38,25,8,5,5.0
Arsenal,2006,38,20,7,11,1.8181818181818181
Arsenal,2007,38,19,11,8,2.375
Arsenal,2008,38,24,11,3,8.0
Arsenal,2009,38,20,12,6,3.3333333333333335
Arsenal,2010,38,23,6,9,2.5555555555555554
Arsenal,2011,38,19,11,8,2.375
Arsenal,2012,38,21,7,10,2.1
Arsenal,2013,38,21,10,7,3.0
Arsenal,2014,38,24,7,7,3.4285714285714284
Arsenal,2015,38,22,9,7,3.142857142857143
Arsenal,2016,38,20,11,7,2.857142857142857
Arsenal,2017,38,23,6,9,2.5555555555555554
Arsenal,2018,38,19,6,13,1.4615384615384615
Arsenal,2019,38,21,7,10,2.1
Arsenal,2020,28,9,13,6,1.5
Chelsea,1993,42,14,14,14,1.0
Chelsea,1994,42,13,12,17,0.7647058823529411
Chelsea,1995,42,13,15,14,0.9285714285714286
Chelsea,1996,38,12,14,12,1.0
Chelsea,1997,38,16,11,11,1.4545454545454546
Chelsea,1998,38,20,3,15,1.3333333333333333
Chelsea,1999,38,20,15,3,6.666666666666667
Chelsea,2000,38,18,11,9,2.0
Chelsea,2001,38,17,10,11,1.5454545454545454
Chelsea,2002,38,17,13,8,2.125
Chelsea,2003,38,19,10,9,2.111111111111111
Chelsea,2004,38,24,7,7,3.4285714285714284
Chelsea,2005,38,29,8,1,29.0
Chelsea,2006,38,29,4,5,5.8
Chelsea,2007,38,24,11,3,8.0
Chelsea,2008,38,25,10,3,8.333333333333334
Chelsea,2009,38,25,8,5,5.0
Chelsea,2010,38,27,5,6,4.5
Chelsea,2011,38,21,8,9,2.3333333333333335
Chelsea,2012,38,18,10,10,1.8
Chelsea,2013,38,22,9,7,3.142857142857143
Chelsea,2014,38,25,7,6,4.166666666666667
Chelsea,2015,38,26,9,3,8.666666666666666
Chelsea,2016,38,12,14,12,1.0
Chelsea,2017,38,30,3,5,6.0
Chelsea,2018,38,21,7,10,2.1
Chelsea,2019,38,21,9,8,2.625
Chelsea,2020,29,14,6,9,1.5555555555555556
Liverpool,1993,42,16,11,15,1.0666666666666667
Liverpool,1994,42,17,9,16,1.0625
Liverpool,1995,42,21,11,10,2.1
Liverpool,1996,38,20,11,7,2.857142857142857
Liverpool,1997,38,19,11,8,2.375
Liverpool,1998,38,18,11,9,2.0
Liverpool,1999,38,15,9,14,1.0714285714285714
Liverpool,2000,38,19,10,9,2.111111111111111
Liverpool,2001,38,20,9,9,2.2222222222222223
Liverpool,2002,38,24,8,6,4.0
Liverpool,2003,38,18,10,10,1.8
Liverpool,2004,38,16,12,10,1.6
Liverpool,2005,38,17,7,14,1.2142857142857142
Liverpool,2006,38,25,7,6,4.166666666666667
Liverpool,2007,38,20,8,10,2.0
Liverpool,2008,38,21,13,4,5.25
Liverpool,2009,38,25,11,2,12.5
Liverpool,2010,38,18,9,11,1.6363636363636365
Liverpool,2011,38,17,7,14,1.2142857142857142
Liverpool,2012,38,14,10,14,1.0
Liverpool,2013,38,16,13,9,1.7777777777777777
Liverpool,2014,38,26,6,6,4.333333333333333
Liverpool,2015,38,18,8,12,1.5
Liverpool,2016,38,16,12,10,1.6
Liverpool,2017,38,22,10,6,3.6666666666666665
Liverpool,2018,38,21,12,5,4.2
Liverpool,2019,38,30,7,1,30.0
Liverpool,2020,29,27,1,1,27.0
Manchester City,1993,42,15,12,15,1.0
Manchester City,1994,42,9,18,15,0.6
Manchester City,1995,42,12,13,17,0.7058823529411765
Manchester City,1996,38,9,11,18,0.5
Manchester City,2001,38,8,10,20,0.4
Manchester City,2003,38,15,6,17,0.8823529411764706
Manchester City,2004,38,9,14,15,0.6
Manchester City,2005,38,13,13,12,1.0833333333333333
Manchester City,2006,38,13,4,21,0.6190476190476191
Manchester City,2007,38,11,9,18,0.6111111111111112
Manchester City,2008,38,15,10,13,1.1538461538461537
Manchester City,2009,38,15,5,18,0.8333333333333334
Manchester City,2010,38,18,13,7,2.5714285714285716
Manchester City,2011,38,21,8,9,2.3333333333333335
Manchester City,2012,38,28,5,5,5.6
Manchester City,2013,38,23,9,6,3.8333333333333335
Manchester City,2014,38,27,5,6,4.5
Manchester City,2015,38,24,7,7,3.4285714285714284
Manchester City,2016,38,19,9,10,1.9
Manchester City,2017,38,23,9,6,3.8333333333333335
Manchester City,2018,38,32,4,2,16.0
Manchester City,2019,38,32,2,4,8.0
Manchester City,2020,28,18,3,7,2.5714285714285716
Manchester United,1993,42,24,12,6,4.0
Manchester United,1994,42,27,11,4,6.75
Manchester United,1995,42,26,10,6,4.333333333333333
Manchester United,1996,38,25,7,6,4.166666666666667
Manchester United,1997,38,21,12,5,4.2
Manchester United,1998,38,23,8,7,3.2857142857142856
Manchester United,1999,38,22,13,3,7.333333333333333
Manchester United,2000,38,28,7,3,9.333333333333334
Manchester United,2001,38,24,8,6,4.0
Manchester United,2002,38,24,5,9,2.6666666666666665
Manchester United,2003,38,25,8,5,5.0
Manchester United,2004,38,23,6,9,2.5555555555555554
Manchester United,2005,38,22,11,5,4.4
Manchester United,2006,38,25,8,5,5.0
Manchester United,2007,38,28,5,5,5.6
Manchester United,2008,38,27,6,5,5.4
Manchester United,2009,38,28,6,4,7.0
Manchester United,2010,38,27,4,7,3.857142857142857
Manchester United,2011,38,23,11,4,5.75
Manchester United,2012,38,28,5,5,5.6
Manchester United,2013,38,28,5,5,5.6
Manchester United,2014,38,19,7,12,1.5833333333333333
Manchester United,2015,38,20,10,8,2.5
Manchester United,2016,38,19,9,10,1.9
Manchester United,2017,38,18,15,5,3.6
Manchester United,2018,38,25,6,7,3.5714285714285716
Manchester United,2019,38,19,9,10,1.9
Manchester United,2020,29,12,9,8,1.5
Tottenham Hotspur,1993,42,16,11,15,1.0666666666666667
Tottenham Hotspur,1994,42,11,12,19,0.5789473684210527
Tottenham Hotspur,1995,42,16,14,12,1.3333333333333333
Tottenham Hotspur,1996,38,16,13,9,1.7777777777777777
Tottenham Hotspur,1997,38,13,7,18,0.7222222222222222
Tottenham Hotspur,1998,38,11,11,16,0.6875
Tottenham Hotspur,1999,38,11,14,13,0.8461538461538461
Tottenham Hotspur,2000,38,15,8,15,1.0
Tottenham Hotspur,2001,38,13,10,15,0.8666666666666667
Tottenham Hotspur,2002,38,14,8,16,0.875
Tottenham Hotspur,2003,38,14,8,16,0.875
Tottenham Hotspur,2004,38,13,6,19,0.6842105263157895
Tottenham Hotspur,2005,38,14,10,14,1.0
Tottenham Hotspur,2006,38,18,11,9,2.0
Tottenham Hotspur,2007,38,17,9,12,1.4166666666666667
Tottenham Hotspur,2008,38,11,13,14,0.7857142857142857
Tottenham Hotspur,2009,38,14,9,15,0.9333333333333333
Tottenham Hotspur,2010,38,21,7,10,2.1
Tottenham Hotspur,2011,38,16,14,8,2.0
Tottenham Hotspur,2012,38,20,9,9,2.2222222222222223
Tottenham Hotspur,2013,38,21,9,8,2.625
Tottenham Hotspur,2014,38,21,6,11,1.9090909090909092
Tottenham Hotspur,2015,38,19,7,12,1.5833333333333333
Tottenham Hotspur,2016,38,19,13,6,3.1666666666666665
Tottenham Hotspur,2017,38,26,8,4,6.5
Tottenham Hotspur,2018,38,23,8,7,3.2857142857142856
Tottenham Hotspur,2019,38,23,2,13,1.7692307692307692
Tottenham Hotspur,2020,29,11,8,10,1.1
